Image Name,Average left fingernail R,Average left fingernail G,Average left fingernail B,Blood Sample ID
1709617342493.jpg,113.1340771,160.7010956,154.3841619,202403051
1709617680583.jpg,119.9202785,156.2538385,147.2339916,
1709618619330.jpg,99.41094303,125.4756088,120.9178104,202403056
1709619457094.jpg,123.7541189,166.4116249,159.9719639,
1709619991338.jpg,110.42875,160.6176081,146.8517733,202403059
1709620443471.jpg,127.3991919,156.638155,148.6449509,2024030510
1709620969894.jpg,119.3877249,139.7431889,128.8258057,
1709621226416.jpg,124.1649265,155.1000786,144.3257589,2024030512
1709621373733.jpg,103.2344742,138.6759062,136.362937,2024030513
1709622298907.jpg,131.39077,162.2897358,160.776516,2024030514
1709622347836.jpg,181.4281855,180.7737074,172.2358437,2024030515
1709622980449.jpg,194.4131041,203.8047361,188.1927414,2024030516
1709623592643.jpg,180.4020634,189.2808533,174.339138,2024030517
1709623803600.jpg,91.43388844,62.53824043,58.36177826,2024030518
1709624057571.jpg,145.5962772,171.8772221,166.0326548,2024030519
1709625055284.jpg,199.1778021,189.7605486,180.2041864,2024030520
1709625490982.jpg,137.8064289,154.6524277,139.717576,2024030521
1709625626255.jpg,85.373353,92.14366913,65.07760906,2024030522
1709626234005.jpg,186.8432884,199.5806332,174.4149523,2024030523
1709626691680.jpg,124.3646936,148.8533278,145.1245422,2024030524
1709627240752.jpg,190.8241129,200.3664818,186.6909637,2024030525
1709627594963.jpg,80.42805195,86.5977354,70.75784302,2024030526
1709627995619.jpg,205.5214472,207.0228958,190.4864311,2024030528
1709628151001.jpg,133.8644428,165.9816151,156.2856417,2024030529
1709628862297.jpg,80.04401588,79.69694138,59.39972782,
1709629597514.jpg,178.248704,185.7107439,169.9401522,2024030532
1709630040004.jpg,131.3002148,153.7214928,149.0727978,2024030533
1709630561477.jpg,76.60558033,70.88175583,50.98060989,2024030534
1709630778961.jpg,190.8644638,185.0067863,166.7701616,2024030535
1709634279997.jpg,186.7307119,193.9197569,186.0995007,2024030536
1709634703546.jpg,90.79506683,87.43497944,75.16252995,2024030537
1709634967595.jpg,176.7256145,187.5369282,166.7483196,2024030538
1709635380428.jpg,192.4765911,193.2073774,177.9190321,2024030539
1709635616806.jpg,138.7613134,172.115757,164.7677584,2024030540
1709635871518.jpg,125.0782452,158.7014103,155.1507387,
1709636250760.jpg,86.88000488,85.70792294,65.58017635,
1709636428646.jpg,196.2186098,197.4188194,184.187398,
1709636898090.jpg,139.5906725,183.250432,177.8787394,2024030544
1709637501929.jpg,119.8302021,158.5133429,148.7665081,2024030545
1709637693379.jpg,174.4071579,185.4891386,175.5347729,2024030547
1709638261168.jpg,193.2134638,197.9749374,183.4495401,2024030548
1709638369097.jpg,88.08292961,77.40545654,66.30254555,
